fast_low,slow_low,fast_high,slow_high,vol_lookback,vol_threshold_pct,sortino,trades_yr,penalised
42,140,22,280,60,70.0,0.994908,1.9134208,0.9566395
42,140,22,310,60,70.0,0.9958906,1.96312,0.95662826
42,140,42,220,40,70.0,0.99190295,1.764323,0.95661646
42,120,2,300,120,70.0,1.0008041,2.2116163,0.95657176
42,130,22,240,40,70.0,1.0007782,2.2116163,0.9565458
42,120,12,60,60,70.0,1.03046,3.7025933,0.9564081
50,120,22,310,80,70.0,0.9965624,2.0128193,0.95630604
42,120,22,310,100,70.0,0.9925649,1.8140223,0.95628446
42,140,22,320,60,70.0,0.99354136,1.8637215,0.95626694
42,120,50,240,60,70.0,1.0033875,2.360714,0.9561732
50,120,22,320,60,70.0,0.9953418,1.96312,0.95607936
42,120,22,310,120,70.0,0.9873241,1.5655261,0.9560136
42,140,22,250,60,70.0,0.9939935,1.9134208,0.9557251
42,130,32,280,80,70.0,0.9928552,1.8637215,0.9555807
50,120,22,260,100,70.0,0.98588985,1.5158268,0.9555733
50,120,12,250,80,60.0,0.9938021,1.9134208,0.9555337
50,110,12,230,40,70.0,1.0064325,2.559511,0.95524234
42,130,50,240,80,70.0,0.99050426,1.764323,0.9552178
42,130,2,310,80,70.0,1.003161,2.4104133,0.95495266
42,140,12,240,60,70.0,0.9951007,2.0128193,0.9548443
50,120,32,280,80,70.0,0.99282694,1.9134208,0.95455855
42,120,12,230,60,70.0,0.99773747,2.161917,0.9544991
42,140,22,290,40,70.0,0.9957131,2.0625186,0.95446277
50,120,50,250,120,60.0,0.989749,1.764323,0.9544626
50,100,12,60,40,70.0,1.0394452,4.249285,0.9544595
42,130,50,230,40,70.0,0.9956983,2.0625186,0.9544479
50,120,50,240,80,70.0,0.9904894,1.8140223,0.95420897
50,120,50,300,60,70.0,0.99446297,2.0128193,0.9542066
50,120,12,60,80,70.0,1.020263,3.3049996,0.954163
50,120,50,290,60,70.0,0.9943932,2.0128193,0.95413685
42,120,2,290,120,70.0,1.0002891,2.3110147,0.9540687
50,100,22,260,40,70.0,1.0082196,2.7086086,0.95404744
42,120,42,200,120,70.0,0.9893212,1.764323,0.9540347
42,130,32,310,40,70.0,0.99627674,2.1122177,0.95403236
50,120,42,220,40,70.0,0.9982228,2.2116163,0.95399046
42,140,32,280,40,70.0,0.99218494,1.9134208,0.95391655
42,130,50,240,60,70.0,0.99607384,2.1122177,0.95382947
50,120,2,310,80,70.0,1.0030211,2.4601123,0.95381886
42,140,50,200,60,70.0,0.9930049,1.96312,0.9537425
42,130,22,310,100,70.0,0.98793054,1.7146238,0.9536381
42,120,50,250,60,70.0,1.0007695,2.360714,0.9535552
42,120,42,220,120,60.0,0.9927994,1.96312,0.953537
50,120,12,60,60,70.0,1.0275732,3.7025933,0.95352143
42,130,12,240,80,70.0,0.99077165,1.8637215,0.95349723
50,120,50,210,60,70.0,0.99669135,2.161917,0.953453
42,130,22,300,40,70.0,1.0005676,2.360714,0.9533532
42,130,12,60,80,70.0,1.0184362,3.2553003,0.9533302
50,120,12,230,60,70.0,0.995486,2.1122177,0.9532417
50,120,22,290,40,70.0,1.0022758,2.4601123,0.9530736
42,130,12,60,100,70.0,1.0200332,3.3546987,0.95293933
50,100,12,60,60,60.0,1.0288602,3.801992,0.95282036
50,120,32,280,40,70.0,0.9987151,2.3110147,0.9524948
42,130,50,330,60,70.0,0.9917497,1.96312,0.9524873
42,140,32,310,60,70.0,0.98967916,1.8637215,0.9524047
42,140,50,240,40,70.0,0.98862004,1.8140223,0.9523396
50,120,2,310,100,60.0,1.0045031,2.6092103,0.95231897
50,120,12,60,40,60.0,1.0320987,4.0007887,0.9520828
42,130,32,320,60,70.0,0.99032944,1.9134208,0.952061
42,140,2,310,120,70.0,0.99030703,1.9134208,0.9520386
50,120,22,300,60,70.0,0.9922823,2.0128193,0.9520259
