trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,CAGR,Sharpe,MDD
1588,3,295,40,330,0.8762171833201791,0.24230848461404486,0.6078744033431753,-0.9133909337097869
1589,5,92,19,314,0.9058226429540779,0.2579707045437625,0.6283950583395164,-0.9556182163409219
1590,2,100,18,337,0.9621882846233141,0.286202305917965,0.6640870227654916,-0.9100042058551938
1591,4,286,15,320,0.9149248510864963,0.2619045979495416,0.6342280116022364,-0.8446924806273646
1592,2,276,17,350,1.007615479382777,0.31010233111944063,0.6963183812705174,-0.84744236647302
1593,6,85,19,330,0.9572345436283364,0.28518819005135665,0.6630994229915746,-0.9300908970879818
1594,3,75,18,340,0.9347617413154168,0.27232070975496203,0.6464041880099184,-0.9252072126681066
1595,3,297,20,326,1.006217582676165,0.308216841237275,0.6939501564465573,-0.8446924806273648
1596,2,65,16,345,0.9406635074413029,0.27531868500432366,0.6500620527122132,-0.9410290560543104
1597,4,96,16,336,1.0057124657594134,0.3088050301276999,0.6927907839330513,-0.8807462120723581
1598,3,268,20,333,0.9498325886711452,0.28004884473700375,0.6576410005257811,-0.8956137150500539
1599,2,289,14,324,0.9502877160445988,0.2802063602082323,0.6584471881183644,-0.8446924806273647
1600,5,83,17,246,0.7474784623211735,0.180439764382748,0.5231866479842716,-0.9417645991262339
1601,4,279,19,341,0.9560397501047231,0.28344977732592924,0.6620902776065698,-0.8728431437538399
1602,2,71,18,317,0.8561183278148646,0.23278753224761428,0.5957757273936937,-0.9572751360281455
1603,3,89,17,330,0.9198799444962772,0.2646045816074041,0.6366992217191206,-0.9471174600704173
1604,5,104,21,346,0.9574174918599804,0.28501762366665573,0.6629168352070622,-0.9160475636338535
1605,4,78,18,336,0.9179592687953053,0.26444356240892075,0.6366057207378856,-0.9203508162111184
1606,2,294,23,326,0.9402487891547364,0.275347790539491,0.6515552834392584,-0.8677415794723877
1607,3,287,19,338,0.9774497825333704,0.29450702309416443,0.6764154041534801,-0.86190570454511
1608,28,281,17,331,0.9656343668271994,0.28676934336903925,0.6667606930530336,-0.8446924806273648
1609,2,83,33,311,0.8719329365581415,0.24022543817958408,0.6054535325996003,-0.9274173828158625
1610,6,196,16,344,0.9063567517043516,0.2572580712790973,0.6276574792346707,-0.914868548597211
1611,4,93,19,321,0.9744539032292464,0.2931094233510294,0.6730409990179477,-0.908580917879044
1612,3,120,20,350,1.0005465780879748,0.30754673878271,0.6912924995380607,-0.9050568689357716
