trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr,Penalized
57,44,281,50,259,0.8656278398020074,0.2356161588898058,0.6060242354314744,-0.8799269526386562,-0.6146415523200699,4.607088142171382,0.7734860769585797
58,49,250,50,291,0.9511727715520742,0.2783726688583361,0.6630160080020546,-0.8446924806273648,-0.589932092963652,2.3421509549586355,0.9043297524529015
59,49,247,50,281,0.9150224067558316,0.259917064125335,0.6387279320264286,-0.8446924806273648,-0.5899320929636518,2.393626800122562,0.8671498707533803
60,43,277,48,281,0.935527223538629,0.27050890205428324,0.6527839087084212,-0.8446924806273648,-0.5955616764931164,2.1877234194668573,0.8917727551492919
61,45,304,48,289,0.8650715097758789,0.23499468963265002,0.6049856401473785,-0.8682477751547906,-0.5679385209992209,3.7834746195485653,0.7894020173849076
62,49,277,50,277,0.8874022592002536,0.24617104217687324,0.6202180083959629,-0.8623474780485885,-0.5955616764931164,1.003778980696558,0.8673266795863225
63,44,280,48,306,0.9171192667329104,0.26169526691669653,0.6408749122602652,-0.8681308345462434,-0.4432294672121113,2.2906751097947096,0.8713057645370162
64,44,277,47,303,0.9097141023135209,0.2573601075939449,0.6351020861025289,-0.8451291800490406,-0.5691357061743892,2.084771729139005,0.8680186677307408
65,43,278,46,299,0.9025847827384097,0.2538977036107932,0.6305484241114553,-0.8446924806273648,-0.5955616764931162,1.6729649678275968,0.8691254833818578
66,39,277,6,308,0.8447585243264479,0.2246567647658111,0.5907905905003158,-0.8220541366487826,-0.6151610031718376,8.725155755285467,0.6702554092207386
67,43,323,47,299,0.9030977751097096,0.2542968577556297,0.6310064022013271,-0.8845178126963313,-0.5733369185155055,4.2467572260239,0.8181626305892316
68,36,297,43,336,0.9110401427466627,0.25883352618963484,0.6369213669123789,-0.9093608078476915,-0.5240332127211811,3.4746195485650087,0.8415477517753625
69,43,272,45,271,0.9297996863193372,0.2677270634646316,0.6493851182982533,-0.8446924806273647,-0.5691357061743894,1.3641098968440406,0.9025174883824564
70,43,313,45,301,0.9114670080042623,0.2584924261699173,0.6365918139017093,-0.8446924806273648,-0.5151391392443143,2.9598610969257484,0.8522697860657473
71,45,262,47,275,0.8988691753798413,0.2521669150651995,0.6284395869161151,-0.8831366253611604,-0.5910560605264833,1.5700132774997448,0.8674689098298465
72,44,260,47,263,0.9237901766281025,0.2644927021626402,0.6450930822608346,-0.8450370981201243,-0.5910560605264833,1.4155857420079665,0.8954784617879431
73,41,291,43,260,0.8773733691932536,0.24064508428324372,0.6127408005936801,-0.8795162482960878,-0.588433848596488,5.7395567357777555,0.7625822344776985
74,43,259,48,267,0.892320356346752,0.2487343087087115,0.6238206376206004,-0.8779472129796504,-0.5910560605264832,2.2391992646307837,0.8475363710541364
75,39,269,45,290,0.9124847917009417,0.258866286568721,0.6372436435612348,-0.8446924806273648,-0.5884338485964877,2.2906751097947096,0.8666712895050475
76,46,299,42,330,0.8910961441364749,0.24879397610134624,0.6236883372552815,-0.9288781394918864,-0.5419136887108814,3.371667858237157,0.8236627869717317
77,32,241,46,350,0.9323950698691411,0.2692163902720148,0.6501469884593084,-0.9096209888708484,-0.6077770080969491,6.46021856807272,0.8031906985076867
78,42,285,44,317,0.9191639859440874,0.26265685224502855,0.6420350752884567,-0.8823223782524692,-0.48130673532838175,2.4451026452864877,0.8702619330383576
79,42,286,44,318,0.919155529849272,0.2626587104647269,0.6420391967927662,-0.8823156500376547,-0.4813067353283824,2.4965784904504136,0.8692239600402637
80,6,313,44,316,0.883132515832275,0.2443946265608632,0.6176442117179657,-0.8775813976588897,-0.5446930287057472,8.313348993974058,0.7168655359527939
81,41,287,45,312,0.9117979095008879,0.258887646308386,0.6370695750323717,-0.8731169397247257,-0.44071733684000425,2.2906751097947096,0.8659844073049937
82,37,304,41,287,0.9001149267632701,0.2529910630098018,0.6295245031799379,-0.8815963820915088,-0.5702948333040149,3.8349504647124912,0.8234159174690203
83,42,271,48,326,0.9012739384990953,0.25407060085367017,0.6306396899227037,-0.9184687890468628,-0.45678468961100627,3.886426309876417,0.823545412301567
84,39,258,46,297,0.8962398607200824,0.25056023209907186,0.6260395930735523,-0.8492827848310381,-0.5910560605264834,2.651006025942192,0.8432197402012386
85,46,235,42,268,0.9063070160538936,0.2555773968698005,0.6332069190120425,-0.8652019046292793,-0.6089163787131515,2.599530180778266,0.8543164124383283
