slow,fast,leverage,CAGR,Sharpe,Sortino,Vol,MDD,MDD_Entry,Trades_Year,Total_Trades,Max_Recovery_Days
52,27,3,0.176480,0.502361,0.683452,0.401257,-0.931601,-0.712290,4.650756,249,5250
52,28,3,0.193619,0.538050,0.735104,0.401974,-0.905567,-0.683392,4.688111,251,5151
52,29,3,0.197119,0.545154,0.744780,0.402548,-0.905170,-0.713586,4.632078,248,5007
52,30,3,0.202325,0.556320,0.760382,0.401534,-0.908515,-0.710084,4.557367,244,4593
52,31,3,0.214193,0.579925,0.795637,0.403257,-0.842032,-0.755688,4.669434,250,2752
52,32,3,0.207104,0.565990,0.775541,0.401794,-0.847469,-0.766334,4.557367,244,4420
52,33,3,0.203244,0.558236,0.764852,0.401073,-0.841031,-0.747704,4.632078,248,4420
52,34,3,0.174826,0.498717,0.678428,0.402624,-0.909125,-0.766157,4.594723,246,5007
52,35,3,0.155776,0.458221,0.621192,0.402002,-0.928440,-0.815673,4.744145,254,6432
52,36,3,0.162519,0.472609,0.641870,0.402470,-0.949862,-0.844983,4.744145,254,4990
52,37,3,0.146028,0.437631,0.589544,0.405106,-0.967039,-0.885808,4.744145,254,6445
52,38,3,0.153556,0.453088,0.614087,0.408460,-0.963897,-0.878536,4.706789,252,5240
52,39,3,0.129429,0.401459,0.542520,0.410262,-0.969629,-0.895078,4.818856,258,6444
52,40,3,0.132367,0.407546,0.552061,0.409153,-0.968673,-0.881637,4.818856,258,6413
52,41,3,0.120227,0.382715,0.515994,0.415883,-0.959585,-0.883658,4.986955,267,6490
52,42,3,0.124411,0.391561,0.528765,0.415080,-0.955042,-0.879402,5.360510,287,6446
52,43,3,0.119428,0.380949,0.514137,0.415905,-0.957352,-0.887507,5.547287,297,6490
52,44,3,0.141851,0.428392,0.581382,0.415272,-0.938337,-0.816199,5.920842,317,5011
52,45,3,0.113274,0.367746,0.496855,0.417305,-0.960368,-0.867723,6.257041,335,6490
52,46,3,0.112717,0.366850,0.496175,0.420010,-0.954714,-0.868707,6.854729,367,6490
52,47,3,0.109163,0.360048,0.486027,0.421586,-0.953982,-0.870328,7.601838,407,6490
52,48,3,0.108473,0.358525,0.483962,0.421260,-0.956384,-0.873180,8.012748,429,6490
52,49,3,0.073605,0.282920,0.380382,0.421989,-0.970866,-0.918343,9.357545,501,6490
52,50,3,0.070893,0.278660,0.374169,0.426057,-0.968810,-0.916006,10.739698,575,6490
53,2,3,0.319022,0.816248,1.140524,0.372954,-0.794914,-0.724783,9.917877,531,3450
53,3,3,0.285081,0.743467,1.034949,0.375939,-0.857328,-0.718647,8.610436,461,4794
53,4,3,0.283105,0.739190,1.030128,0.376045,-0.849369,-0.702356,7.713905,413,4979
53,5,3,0.267803,0.707229,0.981329,0.376242,-0.822386,-0.629961,7.302994,391,4268
53,6,3,0.282561,0.736317,1.026323,0.377915,-0.810468,-0.605416,6.854729,367,3778
53,7,3,0.293120,0.758204,1.058299,0.377715,-0.819671,-0.681548,6.369108,341,2721
53,8,3,0.283714,0.737367,1.026148,0.379433,-0.800598,-0.647866,6.144975,329,2748
53,9,3,0.278900,0.726305,1.010448,0.380703,-0.800132,-0.682368,5.808776,311,4259
53,10,3,0.288315,0.744083,1.038000,0.382215,-0.761275,-0.617176,5.734065,307,1920
53,11,3,0.277964,0.722272,1.005151,0.383046,-0.759254,-0.654118,5.584643,299,1680
53,12,3,0.284306,0.734226,1.021993,0.384171,-0.815155,-0.654161,5.323154,285,2534
53,13,3,0.271901,0.706412,0.981593,0.387367,-0.799428,-0.624736,5.099022,273,2535
53,14,3,0.273562,0.709102,0.985907,0.388163,-0.811136,-0.641188,4.986955,267,1685
53,15,3,0.260275,0.681207,0.944934,0.389399,-0.827458,-0.672196,4.800178,257,2388
53,16,3,0.263411,0.687533,0.953023,0.389549,-0.876420,-0.746135,4.837533,259,1920
53,17,3,0.251069,0.662055,0.913660,0.390229,-0.901662,-0.748670,4.650756,249,4317
53,18,3,0.230892,0.619997,0.850434,0.391363,-0.912892,-0.777372,4.613401,247,4365
53,19,3,0.215838,0.588212,0.806879,0.391856,-0.928458,-0.790551,4.613401,247,4481
53,20,3,0.209689,0.575168,0.788430,0.392076,-0.930506,-0.796547,4.650756,249,4810
53,21,3,0.213486,0.582589,0.798429,0.393388,-0.928034,-0.794832,4.613401,247,5005
53,22,3,0.212620,0.580181,0.795152,0.394659,-0.925424,-0.770345,4.613401,247,5147
53,23,3,0.195155,0.543430,0.743824,0.394503,-0.930860,-0.811830,4.650756,249,5239
53,24,3,0.178999,0.508540,0.693815,0.396140,-0.944793,-0.849749,4.613401,247,6490
53,25,3,0.165185,0.478581,0.650312,0.399514,-0.947230,-0.791200,4.613401,247,6490
53,26,3,0.164379,0.476704,0.648031,0.400326,-0.920721,-0.704079,4.613401,247,6490
53,27,3,0.177503,0.504579,0.687100,0.400850,-0.925933,-0.698064,4.613401,247,5260
53,28,3,0.197233,0.545625,0.746025,0.401793,-0.892328,-0.665961,4.650756,249,4646
53,29,3,0.194395,0.539361,0.737029,0.402900,-0.901415,-0.725433,4.594723,246,4646
53,30,3,0.195526,0.542224,0.740670,0.401427,-0.899432,-0.742868,4.520012,242,4615
53,31,3,0.197398,0.545934,0.746418,0.401881,-0.858632,-0.780549,4.594723,246,4492
53,32,3,0.201129,0.553901,0.758333,0.401093,-0.821972,-0.774563,4.520012,242,4365
53,33,3,0.187826,0.526162,0.716491,0.402345,-0.872521,-0.750609,4.482656,240,4645
53,34,3,0.158959,0.465187,0.630490,0.401413,-0.934222,-0.796746,4.594723,246,6490
53,35,3,0.150088,0.446251,0.602731,0.402876,-0.955714,-0.869934,4.557367,244,6490
53,36,3,0.145974,0.437500,0.589637,0.405119,-0.946908,-0.867480,4.706789,252,6418
53,37,3,0.138128,0.420576,0.565778,0.405449,-0.960308,-0.870883,4.669434,250,6420
53,38,3,0.138140,0.420283,0.567627,0.408653,-0.963719,-0.877935,4.706789,252,5250
53,39,3,0.131366,0.405480,0.548829,0.409864,-0.973535,-0.908573,4.818856,258,6410
53,40,3,0.110762,0.361953,0.486107,0.412277,-0.968238,-0.881272,4.762822,255,6490
53,41,3,0.127201,0.397558,0.537215,0.415753,-0.952189,-0.849045,4.912244,263,6392
53,42,3,0.129243,0.401914,0.542976,0.415254,-0.951395,-0.871630,5.099022,273,6392
53,43,3,0.131668,0.407052,0.550415,0.415589,-0.954885,-0.865986,5.285799,283,6415
53,44,3,0.136411,0.417010,0.564764,0.415453,-0.943221,-0.833942,5.435221,291,6365
53,45,3,0.123770,0.391192,0.527186,0.420476,-0.950507,-0.848835,5.846131,313,6372
53,46,3,0.101823,0.344368,0.463072,0.420988,-0.961537,-0.885548,6.070264,325,6490
53,47,3,0.110492,0.362978,0.489855,0.421934,-0.953224,-0.857133,6.630596,355,6490
53,48,3,0.097139,0.334240,0.450402,0.421569,-0.964672,-0.881496,7.340350,393,6490
53,49,3,0.081473,0.301586,0.404578,0.425169,-0.962649,-0.893035,8.199526,439,6490
53,50,3,0.071810,0.280970,0.376251,0.426424,-0.979625,-0.947485,9.245479,495,6490
54,2,3,0.308444,0.793462,1.104179,0.374221,-0.853160,-0.710427,9.768455,523,4482
54,3,3,0.286104,0.745447,1.037465,0.376086,-0.865897,-0.735545,8.573080,459,4497
54,4,3,0.274868,0.722733,1.004382,0.375418,-0.856082,-0.716189,7.751260,415,4993
54,5,3,0.265981,0.702999,0.975292,0.376716,-0.829447,-0.644672,7.228283,387,4305
54,6,3,0.287553,0.746401,1.040595,0.378132,-0.808552,-0.604641,6.817373,365,3466
54,7,3,0.307763,0.788518,1.104518,0.377193,-0.713617,-0.547506,6.294397,337,1679
54,8,3,0.283421,0.736816,1.025115,0.379385,-0.802139,-0.646903,5.995553,321,3482
54,9,3,0.278715,0.725131,1.008878,0.381580,-0.812256,-0.694501,5.808776,311,3802
54,10,3,0.288264,0.743654,1.037379,0.382558,-0.777468,-0.665085,5.584643,299,1718
54,11,3,0.286812,0.738763,1.029111,0.384706,-0.752833,-0.694449,5.285799,283,966
54,12,3,0.275571,0.714910,0.995889,0.385903,-0.824428,-0.671510,5.173733,277,2711
54,13,3,0.275359,0.712807,0.990928,0.388104,-0.843764,-0.676973,5.061666,271,3840
54,14,3,0.263644,0.689200,0.956334,0.387888,-0.819658,-0.657379,4.912244,263,2462
54,15,3,0.260933,0.683086,0.947104,0.388702,-0.848423,-0.688622,4.762822,255,2461
