trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,Trades_Yr,CAGR,Sharpe,MDD,Penalized_Score
91,23,321,16,318,0.8929778309519525,3.0406724511930587,0.25054530233005234,0.6189426848484029,-0.8617985057809048,0.8929778309519525
92,18,330,15,343,0.9562848033595065,1.7424078091106292,0.2819241959130776,0.6601571160785434,-0.8446924806273647,0.9562848033595065
93,24,309,14,350,0.9424833270517604,3.450650759219089,0.274651844145235,0.65075604329257,-0.8498131343856545,0.9424833270517604
94,20,341,18,330,0.9834253753079832,1.879067245119306,0.296221543838161,0.6787592665391606,-0.8446924806273648,0.9834253753079832
95,20,342,21,328,0.9701148269207825,1.879067245119306,0.2893010258393176,0.6697991301807242,-0.8446924806273648,0.9701148269207825
96,20,336,18,333,0.9490118741436216,1.5374186550976139,0.2794213251345039,0.6570418444570694,-0.8561539010570268,0.9490118741436216
97,22,327,20,315,0.927299017742466,2.220715835140998,0.268152902686319,0.6423176384466028,-0.8622122047262897,0.927299017742466
98,15,317,24,321,0.923564753877543,2.8356832971800436,0.26632638459173985,0.6397942672308474,-0.8817654936299313,0.923564753877543
99,21,343,22,305,0.8725808940414244,4.817245119305857,0.2402652150094342,0.6051305780125666,-0.8712044707294244,0.8725808940414244
101,17,300,16,332,0.9344425552066988,1.8107375271149675,0.27172075619592473,0.647432617759782,-0.8491794094661048,0.9344425552066988
102,26,314,19,341,0.9295283574455518,2.56236442516269,0.269218082845027,0.6436831801811984,-0.8963409447320391,0.9295283574455518
103,25,144,17,326,0.8554259258971264,12.196854663774404,0.23224955700239747,0.5944024770721237,-0.9550942041190021,0.8554259258971264
104,28,289,13,335,0.9613683098015797,4.612255965292841,0.283071821777922,0.6614273788232022,-0.8446924806273647,0.9613683098015797
105,18,330,10,311,0.9037550080352577,4.7489154013015185,0.2570287957537942,0.6283778140744757,-0.8648696832854305,0.9037550080352577
106,16,322,20,295,0.9360151186291443,4.68058568329718,0.2720251728679115,0.6477902843414615,-0.8446924806273648,0.9360151186291443
107,21,282,14,343,0.9373124786435384,3.450650759219089,0.27293217781722445,0.6490862248702786,-0.8629817498978799,0.9373124786435384
108,23,274,47,244,0.8197078025124956,10.488611713665945,0.21396922992732237,0.5688893779334009,-0.8931435022769493,0.8197078025124956
109,18,307,21,350,0.9281536322406613,3.1773318872017353,0.2689558517095936,0.6433271022225798,-0.8862694664452897,0.9281536322406613
110,22,97,23,324,0.9122708917339475,13.973427331887201,0.26124880876271295,0.6326450130214275,-0.9482734222493703,0.9122708917339475
111,20,345,18,331,0.9714046523185493,1.879067245119306,0.28994574379342164,0.6706303117383743,-0.8446924806273648,0.9714046523185493
112,20,345,18,335,0.9483626484874835,1.6740780911062907,0.27896030780646885,0.6564264635952745,-0.8446924806273647,0.9483626484874835
113,24,337,16,321,0.902432313784862,3.8606290672451196,0.2551608845410249,0.6250466727872437,-0.8446924806273648,0.902432313784862
114,20,332,15,344,0.9273687280146697,2.3573752711496745,0.26811246494049135,0.6421678278149071,-0.8719936461623022,0.9273687280146697
115,13,348,19,330,0.9692934476459796,2.8356832971800436,0.2888867411996554,0.6691598243230169,-0.8446924806273646,0.9692934476459796
116,32,256,17,312,0.8701274140738465,4.7489154013015185,0.2388990749540345,0.6033978290013609,-0.8701373299855604,0.8701274140738465
117,16,322,18,337,0.9715673370168235,1.7424078091106292,0.2900045488837546,0.6707014768067512,-0.8446924806273648,0.9715673370168235
118,16,340,19,338,0.9558876639669088,1.5374186550976139,0.28306679089368636,0.661737641380798,-0.8671845924184894,0.9558876639669088
