s1_enter,s1_exit,gap,min_sortino,NDX 40yr_sortino,NDX 40yr_cagr,NDX 40yr_sharpe,NDX 40yr_mdd,QQQ 27yr_sortino,QQQ 27yr_cagr,QQQ 27yr_sharpe,QQQ 27yr_mdd,TQQQ 15yr_sortino,TQQQ 15yr_cagr,TQQQ 15yr_sharpe,TQQQ 15yr_mdd
150,125,10,0.9164182131562841,0.9164182131562841,0.23054994703660392,0.6490619879646617,-0.5912781906877824,1.120718852337153,0.2767284681199138,0.7974689808077604,-0.5770184273900446,1.4263103413754268,0.39997696808435945,1.0112689933773376,-0.350268542144502
150,125,15,0.9119172629489236,0.9119172629489236,0.229503855261864,0.6462551961429247,-0.591278190687782,1.116904778647126,0.27617709326185547,0.7952605525691178,-0.5770184273900443,1.4327602582962113,0.40271533408281157,1.0154773702708704,-0.3502685421445021
150,125,20,0.9147527391944923,0.9147527391944923,0.23081402267752282,0.6478697541321733,-0.591278190687782,1.1066881379957163,0.2738879500803324,0.788656064330909,-0.5770184273900449,1.4206096545415046,0.39942774045455365,1.0080887194174684,-0.3502685421445023
150,130,5,0.9161263183690399,0.9161263183690399,0.23065355233057727,0.6491053832655791,-0.5859817818244147,1.1267610399446264,0.2785386378188137,0.801503287238383,-0.5770184273900447,1.4314230535406502,0.4015756781125186,1.0146025945286687,-0.3432072875908557
150,130,10,0.9122787297936072,0.9122787297936072,0.22968555497817067,0.6464962211420782,-0.5912781906877821,1.1209710485391442,0.277254533485743,0.7976350784163773,-0.5770184273900449,1.4183347048046318,0.39771113306500117,1.0061591479182455,-0.3531600093581363
150,130,15,0.9085917425201714,0.9085917425201714,0.2288801273983483,0.644133018939327,-0.5912781906877826,1.1163696762566087,0.27650536996262254,0.7947117780130467,-0.5770184273900445,1.4247792803708275,0.40044506707227345,1.0103683143668853,-0.3531600093581361
150,130,20,0.9109954291865947,0.9109954291865947,0.2299648689063729,0.6455281601561541,-0.5912781906877818,1.1069293423977438,0.2742101853374488,0.7887533194304127,-0.5770184273900445,1.415259277227476,0.3979680168241049,1.004599015351136,-0.35316000935813585
150,135,5,0.9102124707617401,0.9102124707617401,0.2292308421291236,0.6452243733555653,-0.5872747606202672,1.1180749111859072,0.2766297824550621,0.7959102106333972,-0.5770184273900443,1.421454748306322,0.3989392247727723,1.008373141439053,-0.3451363075773103
150,135,10,0.9039715506192337,0.9039715506192337,0.22746791231772434,0.6410749322735114,-0.592554659136909,1.1144177145346146,0.2759372405716891,0.7934916874871794,-0.5770184273900444,1.410933605007538,0.3958079202834415,1.0016523889721811,-0.35406956033570514
150,135,15,0.9037547574862431,0.9037547574862431,0.2277168548552766,0.6409778543853685,-0.5925546591369097,1.1145704006554393,0.27655184517071163,0.793625978780696,-0.5770184273900445,1.41737055934358,0.39853813159149243,1.005861212524603,-0.3540695603357048
150,135,20,0.9069657460428985,0.9069657460428985,0.22906783429967725,0.6428830774645983,-0.5925546591369097,1.1064381839903803,0.27464959970111646,0.7884505248117182,-0.5770184273900447,1.4110789111821331,0.3969876793100644,1.0020124999588127,-0.354069560335705
150,140,5,0.9122538060239186,0.9122538060239186,0.2302207061734154,0.6461350205472338,-0.5896433198894542,1.1179898741573733,0.27719920315078395,0.7956710368477176,-0.5770184273900443,1.422916150740017,0.3999972412324211,1.0092603511738567,-0.34563911897703437
150,140,10,0.9117425310715023,0.9117425310715023,0.2302945200833224,0.6457977847412781,-0.5925546591369095,1.1126387259351183,0.27591286261882386,0.7921771848997335,-0.577018427390044,1.4116753703971576,0.39653552561112604,1.0021543705512208,-0.35456539870248316
150,140,15,0.9068769165015195,0.9068769165015195,0.22905780097527928,0.6426667492941515,-0.5925546591369092,1.10950726231683,0.2754687327961265,0.7903190293172302,-0.5770184273900447,1.415638869670089,0.39848974975350826,1.0048015829448895,-0.3545653987024835
150,140,20,0.9070403370204609,0.9070403370204609,0.22938167076742322,0.6426896972938999,-0.59255465913691,1.102871208393039,0.2738798997072125,0.7861055499316694,-0.5770184273900454,1.4082881002626375,0.39637750417739803,1.00030495444914,-0.35456539870248316
152,115,5,0.9264259002267344,0.9264259002267344,0.23252092397664748,0.6550909164631825,-0.5817013280882939,1.1379960544011776,0.28037660143041143,0.8084235627472796,-0.577018427390044,1.4665702017996338,0.41142705623175724,1.0359382703973667,-0.3362984381449192
152,115,10,0.9254401732872725,0.9254401732872725,0.23262099767097166,0.6545704541064521,-0.5817013280882941,1.1336389268191822,0.2795982835889994,0.8056755347098169,-0.577018427390044,1.4451309794491465,0.4053346776542319,1.0227093723266458,-0.3491405821901823
152,115,15,0.9166236625170663,0.9166236625170663,0.2305525359929952,0.6490462278329958,-0.5817013280882932,1.1179710179512627,0.27576521947977817,0.7960703967601205,-0.5770184273900448,1.4293353242151652,0.4018408127326296,1.01344527138668,-0.3491405821901822
152,115,20,0.9212500578271319,0.9212500578271319,0.2323807791800634,0.6518781304193609,-0.5899582220971022,1.1201578918778659,0.27764988194494933,0.7973628291475605,-0.5770184273900449,1.4308371296538314,0.40240254394110875,1.0143626242788737,-0.34914058219018207
152,120,5,0.9227107964272336,0.9227107964272336,0.23200906194222526,0.6529328959447475,-0.5910870530820229,1.130176958109328,0.2788072938293962,0.8035568155676696,-0.5770184273900447,1.4531400036600757,0.40779689468338054,1.0278597635109854,-0.34042914322402085
152,120,10,0.9217560086041802,0.9217560086041802,0.23210907912905943,0.6524287880426727,-0.5910870530820236,1.1278604160712953,0.27861234772003396,0.8021138399641613,-0.5770184273900447,1.4352163017305248,0.40271759098181903,1.0167852950014795,-0.3502685421445022
152,120,15,0.914626458126658,0.914626458126658,0.2303037511339454,0.6478011106547618,-0.5910870530820229,1.1178080320638182,0.2762122079377789,0.7959728957288859,-0.5770184273900445,1.4250007186420983,0.4006917242098069,1.0106586257382983,-0.3502685421445021
152,120,20,0.9182602590692267,0.9182602590692267,0.2317468136987928,0.6500330142289708,-0.5910870530820233,1.1144516037638754,0.2762448535192892,0.7936723309173856,-0.5770184273900445,1.4265003153203308,0.4012529949673713,1.0115754626238387,-0.3502685421445022
152,125,5,0.9218959775534602,0.9218959775534602,0.23225422252196037,0.6525276891936391,-0.5912781906877826,1.1264626618303637,0.2782423758317927,0.8011700858746287,-0.5770184273900448,1.44106916146729,0.40463225325827534,1.0204448754398265,-0.34042914322402074
152,125,10,0.9191992276972715,0.9191992276972715,0.23168286572334584,0.650799884975323,-0.5912781906877824,1.1247785041059295,0.27822768003188525,0.8001467220112263,-0.5770184273900452,1.4272190043024502,0.40070800157928765,1.0118193379586908,-0.35026854214450265
152,125,15,0.9127810601774594,0.9127810601774594,0.23009273245134532,0.6466493339971903,-0.5912781906877826,1.1147801824486734,0.27582826949240036,0.7940325881008065,-0.5770184273900445,1.4188236501593932,0.39912408575254776,1.006901190624249,-0.3502685421445023
152,125,20,0.9163024227019396,0.9163024227019396,0.23146950233027508,0.6488407909230777,-0.5912781906877824,1.1095852547212155,0.2750549051503268,0.7906194472764136,-0.5770184273900445,1.4203199446324488,0.3996847283421794,1.0078173423740893,-0.3502685421445023
152,130,5,0.9162354327929036,0.9162354327929036,0.23095136319015852,0.6489873199406931,-0.5912781906877819,1.1243357464141162,0.27815577657139556,0.7998988335248777,-0.5770184273900449,1.4295347425196703,0.40139944605023814,1.0132854725440987,-0.3432072875908554
152,130,10,0.9156868400227166,0.9156868400227166,0.23101589207055162,0.6486426007605252,-0.5912781906877825,1.1254810251804304,0.27890528329855724,0.8006212454485295,-0.5770184273900449,1.4200862843656556,0.398734972610709,1.00727144900626,-0.35316000935813596
152,130,15,0.9095925989902494,0.9095925989902494,0.22950434680825582,0.6445966698772082,-0.5912781906877822,1.1159736406628247,0.2766438271374816,0.7945850942553155,-0.5770184273900442,1.4143131435597867,0.39795850487441586,1.0039707750960125,-0.35316000935813585
152,130,20,0.9126692983851797,0.9126692983851797,0.23065555829220563,0.6465593487484753,-0.591278190687782,1.1099947087345148,0.2754340008183398,0.7908313383182666,-0.5770184273900447,1.4158069557687878,0.39851868040448646,1.0048862729415284,-0.3531600093581362
152,135,5,0.9081429202503831,0.9081429202503831,0.22878784509400796,0.6436881788540362,-0.5925546591369091,1.1171541153159268,0.2767052530686114,0.7952052707011901,-0.5770184273900445,1.4193842416860198,0.39855792801439316,1.007016848643537,-0.3451363075773102
152,135,10,0.9075641126200831,0.9075641126200831,0.2288460818394058,0.6433643036210348,-0.5925546591369094,1.1200018889482488,0.27792596660025914,0.7970842504802974,-0.5770184273900446,1.4115027862006726,0.3963246332257664,1.002073164249582,-0.354069560335705
152,135,15,0.905130550006832,0.905130550006832,0.22845304888891138,0.6416699193826603,-0.5925546591369096,1.1135903641704172,0.27668275450118784,0.7929985340523811,-0.5770184273900446,1.4089541715796754,0.3964723880376049,1.0006925629265242,-0.35406956033570514
152,135,20,0.9082059109175423,0.9082059109175423,0.2296032600984197,0.6436341630291842,-0.5925546591369093,1.1101921700381205,0.27608514703163145,0.7908677917083167,-0.5770184273900442,1.4104456387372672,0.3970319680662471,1.0016077183744174,-0.3540695603357047
152,140,5,0.9121530635459199,0.9121530635459199,0.23037694486318383,0.6459481926862805,-0.5925546591369095,1.1156665133797252,0.2767013436046697,0.7940359745681108,-0.577018427390045,1.4205772886975414,0.3994615726296846,1.0076999536615048,-0.3456391189770347
152,140,10,0.9096300947186866,0.9096300947186866,0.22981480064638826,0.6443285102880413,-0.5925546591369095,1.1165955300491621,0.2774023147277078,0.7946443037078634,-0.5770184273900444,1.4124285809110273,0.39707613749128146,1.0026786153176488,-0.3545653987024834
152,140,15,0.9035232076481231,0.9035232076481231,0.2281595475036149,0.6403673235966717,-0.59255465913691,1.1074181297288608,0.27507314655713544,0.7889032378592298,-0.5770184273900446,1.4058962910196613,0.39570877889965805,0.9987803229539909,-0.3545653987024834
152,140,20,0.9074269990934712,0.9074269990934712,0.229596302908323,0.6428942221602295,-0.5925546591369097,1.1051814747197533,0.274821972177957,0.7875459884094935,-0.5770184273900448,1.407386006469334,0.39626805294271317,0.9996950439647175,-0.3545653987024834
154,115,5,0.9189371990809826,0.9189371990809826,0.23045924641408888,0.650250867806991,-0.5817013280882932,1.1302711662043767,0.27856535181252084,0.8034420383461276,-0.5770184273900445,1.4474232592874108,0.4063041859902292,1.0241815810268011,-0.3491405821901823
154,115,10,0.9171545645439434,0.9171545645439434,0.23036716421323922,0.649244819643918,-0.5817013280882941,1.1213394429778407,0.2767211981552242,0.7979011048481305,-0.5770184273900443,1.4452187878484644,0.4064073255537637,1.023027551509593,-0.3491405821901822
154,115,15,0.9157627059161771,0.9157627059161771,0.23042893427026834,0.6483399769245265,-0.581701328088294,1.115756072869044,0.27577216584384323,0.7947702046147482,-0.577018427390044,1.4262037776395557,0.4013738951116912,1.0116266144884996,-0.34914058219018207
