trial,base_fast,base_slow,vol_lookback,vol_scale,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
47,48,212,91,1.7361973860612991,0.7623849596277644,0.7984559066249639,0.19697200997088604,0.5550960489978503,-0.9609119738422273,-0.7310984623943125,1.8035473498599732
48,31,87,69,0.26770926876037116,0.68682369759457,0.7427598038076184,0.17946139809206052,0.5255646105983468,-0.9450467903911093,-0.8049772648275106,2.796805310652422
49,36,67,98,0.09078126379147311,0.6377054746022539,0.7051424624665833,0.16538807019821045,0.5030742334074385,-0.9435540040508071,-0.8044430502978623,3.3718493932164715
50,4,179,119,0.6332243546729528,0.8633271408162244,0.9297185939849828,0.26701048489234447,0.6549804899314761,-0.8819419603010148,-0.5300879802552779,3.3195726584379215
51,45,126,109,0.40564795060838654,0.9336713970749928,0.9666057399854793,0.2850387379179038,0.6760851531054004,-0.8467942444828706,-0.5702948333040145,1.6467171455243232
52,42,129,104,0.4772128566420301,0.9362591359329895,0.969193478843476,0.28593662467891656,0.6773727475861518,-0.8640857307875479,-0.5906064551334311,1.6467171455243232
53,48,106,114,0.2882946497174096,0.885745341190809,0.9239073575791505,0.26293332140542036,0.6470402905911397,-0.8436213502580495,-0.5622332364545448,1.908100819417073
54,40,146,109,0.5323897756836329,0.9377656497881599,0.9665178539163624,0.2855155256619497,0.6761016247723515,-0.8446924806273649,-0.5691357061743894,1.4376102064101235
55,44,167,84,0.07508402507405659,0.9302762832094337,0.9558918832509231,0.2810427612201638,0.6703920332438182,-0.7987010639536838,-0.5987209842254275,1.2807800020744737
56,39,136,116,0.7439006866252558,0.858181140609191,0.8963431569975325,0.24996537117544637,0.6274246333134316,-0.873069959630355,-0.5906064551334312,1.908100819417073
57,42,154,120,0.2498795749839407,0.9383237453476075,0.963939345389097,0.2847070707443402,0.6758406692263681,-0.8288442277932496,-0.5884338485964877,1.2807800020744737
58,12,98,100,1.1150402443491103,0.6801381259229787,0.7580304607430182,0.18657043326690137,0.5361157979003898,-0.8534789971378816,-0.6618188113918806,3.894616741001971
59,23,138,111,0.43121031448013875,0.8286881840157932,0.8699868044908478,0.23877425983730616,0.6126097952954563,-0.881218341211931,-0.6004966072690854,2.064931023752723
60,47,193,104,0.21316200810168678,0.922959179231344,0.9464837098816914,0.274953603593854,0.6605547721734962,-0.8446924806273648,-0.5981940265640977,1.1762265325173737
