slow,fast,leverage,CAGR,Sharpe,Sortino,Vol,MDD,MDD_Entry,Trades_Year,Total_Trades,Max_Recovery_Days
52,36,3,0.180499,0.524544,0.733461,0.528033,-0.935491,-0.819494,5.268120,212,4483
52,37,3,0.181144,0.525523,0.735825,0.528553,-0.917545,-0.751131,5.218420,210,4477
52,38,3,0.191673,0.541812,0.763261,0.532117,-0.888641,-0.751943,5.268120,212,4430
52,39,3,0.181301,0.525522,0.738496,0.533026,-0.926248,-0.822656,5.417217,218,4976
52,40,3,0.168545,0.505360,0.708770,0.535198,-0.954928,-0.888365,5.616014,226,6479
52,41,3,0.198618,0.552870,0.777723,0.532768,-0.943607,-0.876593,5.814811,234,4994
52,42,3,0.205172,0.563083,0.792419,0.532398,-0.935303,-0.867863,6.262104,252,4964
52,43,3,0.212797,0.575308,0.808387,0.529415,-0.946689,-0.888330,6.436052,259,4486
52,44,3,0.180281,0.524154,0.733602,0.532079,-0.969156,-0.921514,6.386352,257,6479
52,45,3,0.200026,0.557086,0.777792,0.538776,-0.949848,-0.859119,6.833646,275,4515
52,46,3,0.192223,0.544548,0.762967,0.543681,-0.949907,-0.868089,7.181540,289,4477
52,47,3,0.188843,0.539242,0.756012,0.544606,-0.953609,-0.875497,7.927029,319,4472
52,48,3,0.183964,0.531558,0.745880,0.544244,-0.943009,-0.834993,8.871314,357,4472
52,49,3,0.152830,0.482709,0.675447,0.544852,-0.946980,-0.842208,10.163495,409,6213
52,50,3,0.072611,0.352621,0.487243,0.549402,-0.980302,-0.952507,12.747855,513,6479
53,2,3,0.204908,0.565188,0.795929,0.491335,-0.945397,-0.886650,11.455675,461,5140
53,3,3,0.199938,0.556723,0.784755,0.490788,-0.926116,-0.875870,9.616803,387,5099
53,4,3,0.221528,0.592652,0.838605,0.491839,-0.904029,-0.838762,8.523420,343,4998
53,5,3,0.208076,0.570072,0.805194,0.492470,-0.892072,-0.836984,7.976728,321,5099
53,6,3,0.210802,0.574332,0.810807,0.494812,-0.880068,-0.790725,7.280939,293,4977
53,7,3,0.223971,0.595835,0.840510,0.497730,-0.880451,-0.771734,6.783946,273,4459
53,8,3,0.222325,0.592930,0.836182,0.498786,-0.901164,-0.845920,6.634849,267,4459
53,9,3,0.172121,0.509455,0.711846,0.503193,-0.901767,-0.804832,6.535450,263,5099
53,10,3,0.178075,0.519459,0.726761,0.504166,-0.926994,-0.854953,6.088157,245,5109
53,11,3,0.171365,0.508207,0.710714,0.506539,-0.940845,-0.850895,5.789962,233,5099
53,12,3,0.189397,0.537883,0.755905,0.505776,-0.926484,-0.837685,5.541465,223,5082
53,13,3,0.171257,0.507658,0.711407,0.508271,-0.932383,-0.835086,5.491766,221,5121
53,14,3,0.182796,0.526856,0.739854,0.507308,-0.901543,-0.759870,5.292969,213,4796
53,15,3,0.187591,0.534806,0.751545,0.507407,-0.898516,-0.772010,5.094172,205,4479
53,16,3,0.161294,0.491569,0.686191,0.512186,-0.945600,-0.807325,4.994774,201,5133
53,17,3,0.154169,0.479394,0.669483,0.511020,-0.931835,-0.758573,4.845676,195,4995
53,18,3,0.157476,0.484722,0.679143,0.511893,-0.918512,-0.784024,4.795977,193,4983
53,19,3,0.170757,0.506976,0.711591,0.512863,-0.926769,-0.805907,4.795977,193,4996
53,20,3,0.160796,0.490359,0.687686,0.513649,-0.922541,-0.758764,4.746277,191,5236
53,21,3,0.147084,0.467669,0.653587,0.515966,-0.945055,-0.828880,4.696578,189,6479
53,22,3,0.166753,0.500479,0.702022,0.515806,-0.901981,-0.745674,4.696578,189,5141
53,23,3,0.164023,0.496263,0.694312,0.514191,-0.878775,-0.726451,4.646879,187,4996
53,24,3,0.152002,0.476815,0.664459,0.517899,-0.877991,-0.732041,4.795977,193,6479
53,25,3,0.164828,0.498132,0.695331,0.517586,-0.856808,-0.691252,4.646879,187,4979
53,26,3,0.173518,0.512473,0.716512,0.518502,-0.865112,-0.682548,4.597180,185,4472
53,27,3,0.185156,0.531491,0.743767,0.519471,-0.867196,-0.717353,4.597180,185,4473
53,28,3,0.204761,0.562369,0.792311,0.522632,-0.850248,-0.741729,4.522631,182,3504
53,29,3,0.223138,0.591238,0.835071,0.523006,-0.813720,-0.736169,4.622029,186,2668
53,30,3,0.211162,0.572495,0.806919,0.522987,-0.826472,-0.762747,4.622029,186,3504
53,31,3,0.187128,0.534312,0.749928,0.523195,-0.901086,-0.759399,4.671729,188,4986
53,32,3,0.175499,0.515509,0.722621,0.522130,-0.899845,-0.766341,4.820826,194,5135
53,33,3,0.188788,0.537077,0.753518,0.520293,-0.926064,-0.773798,5.069323,204,4979
53,34,3,0.198534,0.552531,0.776637,0.522377,-0.917803,-0.777053,4.920225,198,4482
53,35,3,0.203357,0.560983,0.785768,0.525840,-0.909547,-0.781302,5.019623,202,4427
53,36,3,0.176479,0.518089,0.723784,0.527048,-0.917694,-0.769696,5.019623,202,4795
53,37,3,0.161179,0.493394,0.687384,0.526977,-0.935864,-0.809532,5.069323,204,4964
53,38,3,0.182931,0.528126,0.741877,0.530770,-0.915735,-0.811920,5.019623,202,4796
53,39,3,0.169842,0.507226,0.711709,0.532427,-0.941420,-0.868016,5.168721,208,4994
53,40,3,0.179315,0.522343,0.734235,0.533157,-0.946033,-0.874850,5.168721,208,4634
53,41,3,0.175984,0.519476,0.723661,0.537697,-0.944600,-0.872869,5.616014,226,4968
53,42,3,0.176908,0.520862,0.725208,0.536183,-0.938521,-0.865639,5.740262,231,4941
53,43,3,0.163480,0.499579,0.693511,0.535819,-0.953761,-0.879905,5.988759,241,6479
53,44,3,0.175799,0.519149,0.721989,0.534874,-0.952869,-0.880070,6.187555,249,6409
53,45,3,0.171571,0.512727,0.712163,0.537866,-0.958674,-0.893711,6.386352,257,6408
53,46,3,0.193750,0.547075,0.764652,0.541293,-0.944063,-0.853316,6.783946,273,4425
53,47,3,0.190059,0.541102,0.758708,0.544088,-0.938311,-0.835822,7.181540,289,4472
53,48,3,0.170305,0.510687,0.713823,0.546452,-0.937917,-0.815605,7.976728,321,4482
53,49,3,0.129614,0.446313,0.620524,0.547332,-0.947337,-0.860799,8.722217,351,6479
53,50,3,0.106021,0.407618,0.566014,0.547046,-0.915152,-0.814803,10.113795,407,6479
