base_enter,spread,s4_gap,base_exit,exit_decay,min_sortino,NDX 40yr_sortino,NDX 40yr_cagr,NDX 40yr_sharpe,NDX 40yr_mdd,QQQ 27yr_sortino,QQQ 27yr_cagr,QQQ 27yr_sharpe,QQQ 27yr_mdd,TQQQ 15yr_sortino,TQQQ 15yr_cagr,TQQQ 15yr_sharpe,TQQQ 15yr_mdd
148,4,4,135,7,0.9493159270313041,0.9493159270313041,0.22295274090688788,0.6696835943739737,-0.5410198834310481,1.2785592153686063,0.30390925987354045,0.8952602474530805,-0.5749213815342655,1.704947945276156,0.477462526616087,1.186551371169716,-0.34042914322402096
148,4,4,135,8,0.9377669179205556,0.9377669179205556,0.22002590037404346,0.6623089301229198,-0.5441331792138996,1.271323025645304,0.30221667405434727,0.8904102930856315,-0.5749213815342655,1.69863545534417,0.4755367105493338,1.1823339624112064,-0.34042914322402096
148,4,4,140,3,0.9833590518190134,0.9833590518190134,0.2349249800004618,0.693325489454412,-0.5453884441071928,1.2595140184360412,0.3013956790527088,0.8869843363764129,-0.5749213815342655,1.567728121979665,0.43160624827778626,1.1030271344017628,-0.34042914322402085
148,4,4,140,4,0.9616675332466034,0.9616675332466034,0.22871585374269743,0.6787437327581821,-0.57549434371739,1.2498193184767938,0.298616823529386,0.8803573983169258,-0.5749213815342649,1.5856665871035667,0.43936817659563987,1.1152331998527858,-0.34042914322402085
148,4,4,140,5,0.9707278895790367,0.9707278895790367,0.23157366411025793,0.6849651163335397,-0.5754943437173901,1.2452779557262328,0.29751092731962814,0.8774490620770051,-0.5749213815342649,1.55585154486248,0.429019308659526,1.0953823202093025,-0.34042914322402085
148,4,4,140,6,0.9471885567424081,0.9471885567424081,0.22515568201811598,0.6694901331877762,-0.5754943437173887,1.2338382619517567,0.2945500720434886,0.8697835364541091,-0.5749213815342649,1.5576069445444936,0.4299517965475914,1.0964998707321703,-0.34042914322402085
148,4,4,140,7,0.9553334408688562,0.9553334408688562,0.22780978122287432,0.6751787589077133,-0.5755840245286885,1.2092618641412305,0.28752537161994773,0.8537963767061639,-0.574921381534266,1.5417600133535014,0.42410297763018034,1.085893180615734,-0.3404291432240212
148,4,6,115,3,1.0181769984055338,1.0181769984055338,0.2303610109104397,0.7102432633191103,-0.5286904646184718,1.3303124151834111,0.30716618003130836,0.9280218207553896,-0.5704157646179037,1.8503518839436726,0.514295711072503,1.2744462095701834,-0.34090453355336314
148,4,6,115,4,1.0000875376822924,1.0000875376822924,0.2261431121545492,0.6989131839137619,-0.5286904646184716,1.3224541142935788,0.3052603669684406,0.9230083977067897,-0.5704157646179037,1.7646599800401108,0.48769304199762553,1.2261726551799714,-0.34090453355336314
148,4,6,115,5,1.0236166821264618,1.0236166821264618,0.233351040235813,0.7151474500161392,-0.5286904646184714,1.2998637006451716,0.29900156222866503,0.9078490035765957,-0.5704157646179037,1.7325670002349525,0.47662636248973045,1.2053554127986648,-0.34042914322402107
148,4,6,115,6,1.0123057759059548,1.0123057759059548,0.23046109064967357,0.7078339219338123,-0.5286904646184725,1.299749830309632,0.29896772496876056,0.9077689710558184,-0.5704157646179037,1.7358835396205456,0.4776621600679569,1.2066042767410428,-0.34042914322402107
148,4,6,115,7,1.007321581654877,1.007321581654877,0.2298465094876232,0.7053554243397646,-0.5286904646184716,1.2941670488397332,0.2974603707995742,0.9040454205494687,-0.5704157646179037,1.7196066977762936,0.4728269700543337,1.1984986228552006,-0.34042914322402107
148,4,6,115,8,0.9986165699934709,0.9986165699934709,0.2276007208503339,0.6995243314933149,-0.528690464618472,1.2940006067400682,0.2974130560207504,0.90393155284841,-0.5704157646179037,1.7117864448481495,0.4701420861714203,1.1932794792957855,-0.3404291432240203
148,4,6,120,3,1.0364011395589237,1.0364011395589237,0.23900461958023067,0.7229639710109567,-0.5286904646184717,1.3024698393666112,0.3010229913196838,0.9064570539528561,-0.5704157646179032,1.7150599599706355,0.4727536800011136,1.1933160847069058,-0.34042914322402107
148,4,6,120,4,1.0238741984880868,1.0238741984880868,0.23635879044678498,0.7155039942460801,-0.5286904646184725,1.2985594829617766,0.30009072342487064,0.904068596961827,-0.5704157646179032,1.7150599599706355,0.4727536800011136,1.1933160847069058,-0.34042914322402107
148,4,6,120,5,1.0236012269790151,1.0236012269790151,0.23639672916435361,0.7152514456375131,-0.528690464618472,1.2923594698115801,0.2985140434823994,0.8999468123105413,-0.5704157646179032,1.6964281714120033,0.4664253665500451,1.1827888730790304,-0.3404291432240214
148,4,6,120,6,1.0214794129885845,1.0214794129885845,0.23587766430647417,0.7137418492619718,-0.5286904646184721,1.2917937253820913,0.29845423208835786,0.8995695422874936,-0.5704157646179032,1.6942000576957292,0.4659654274659861,1.1813526380275001,-0.3404291432240214
148,4,6,120,7,1.0014459546352288,1.0014459546352288,0.2302666800720259,0.7006061184428111,-0.5286904646184715,1.2496096012480413,0.28719796411871346,0.8735787630600635,-0.5704157646179032,1.6628895133892536,0.45360051275881874,1.1594828427447876,-0.3404291432240214
148,4,6,120,8,0.9997581160688801,0.9997581160688801,0.22996783644144192,0.6994598634649389,-0.528690464618472,1.2556397577371547,0.28869209292890674,0.8773535814904576,-0.5704157646179032,1.6598672915879877,0.452502205316492,1.1574005167208008,-0.3404291432240214
148,4,6,125,3,1.026701049500953,1.026701049500953,0.23885800935786117,0.7181409917141177,-0.5313577596493768,1.3233468742305436,0.3111146998771628,0.9211500312897897,-0.5727941231423042,1.6658617546395147,0.4588182864769845,1.1646690946166351,-0.3404291432240214
148,4,6,125,4,1.0115118479562766,1.0115118479562766,0.23426954587344584,0.7079096864763633,-0.5313577596493768,1.3219097732239942,0.3107385475149007,0.9202300385412031,-0.5727941231423042,1.690880534911962,0.46425103953409064,1.1774986238386997,-0.3404291432240214
148,4,6,125,5,1.0091825255865823,1.0091825255865823,0.2336281224140393,0.7063184562121603,-0.5313577596493761,1.2808793338442057,0.29954852001601084,0.8950083220279756,-0.5727941231423042,1.6359312926394076,0.44628659763822154,1.1431931881162354,-0.3404291432240212
