trial,base_fast_low,base_slow_low,base_fast_high,base_slow_high,vol_lookback,vol_threshold_pct,vol_scale,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
926,46,155,22,173,90,56.749222578888045,0.5502901339754304,1.028883126823375,1.0432592288874762,0.32383838547699795,0.7276280666566262,-0.8446924806273649,-0.5069439425304755,1.4376102064101235
927,44,175,21,184,80,55.89620164509734,1.620903696726522,0.8321253684200679,0.8595706541788066,0.22793388584472263,0.5945915922248844,-0.9609119738422273,-0.5899320929636518,2.744528575873872
928,47,168,19,200,87,59.40357469898688,0.4162474990680093,0.9707933039780493,0.9841238713465795,0.2946565016210969,0.6882319383025353,-0.8465218207933642,-0.4507007448539798,1.3330567368530235
929,45,159,24,162,92,60.602614602395555,0.3646573491891112,0.9884030675862114,1.0038247043458837,0.3048607533751453,0.7038109955067733,-0.8084666348579201,-0.47643057339749406,1.5421636759672235
930,43,152,22,192,89,55.17075586368247,0.4694705000288171,1.0061622324630324,1.0194927998315626,0.3123191702575274,0.7122884483743184,-0.8453433626813113,-0.45291085175580004,1.3330567368530235
931,45,175,23,173,78,56.87002205793501,0.2616340068716754,0.9738206347105659,0.9887195041224527,0.29743778992723624,0.6934316530703343,-0.8164317912657497,-0.5179558840599094,1.4898869411886735
932,49,226,20,182,84,57.67108084546938,0.5180684991628315,0.9221954492325934,0.9370943186444802,0.27113649227094005,0.6560390109689543,-0.8713526761917897,-0.6148714002825676,1.4898869411886735
933,44,164,21,210,86,58.57252034623664,0.4399609337084668,1.0406638105868522,1.0539943779553824,0.3295800053701605,0.7339708767217087,-0.8446924806273647,-0.4178656772286108,1.3330567368530235
934,46,170,22,189,93,56.1266847438166,0.3966942387047935,1.0012891999391182,1.018279138742147,0.3112580273970371,0.7111180372843374,-0.8446924806273648,-0.464111304680907,1.6989938803028732
935,43,181,20,151,52,57.308212555411664,0.35101546651046406,1.0038162868893286,1.0234200624312848,0.3144948675833814,0.7157560548211271,-0.809841064280812,-0.45787281185998185,1.960377554195623
