trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,Trades_Yr,CAGR,Sharpe,MDD
71,34,321,42,274,0.8593732764618841,8.712039045553146,0.23317022287418054,0.5954367890681606,-0.8851795648742884
72,37,144,40,290,0.8329617952289037,12.880151843817789,0.22022538433942818,0.5783511547760894,-0.9567519455524629
73,19,259,38,260,0.8589708124693864,5.842190889370933,0.23256709102484563,0.5944289626942735,-0.8703170023551616
74,31,208,9,164,0.637821750012161,16.70661605206074,0.1360583490956635,0.4531412276968555,-0.8878847584995502
75,27,240,36,106,0.5735058380816074,30.919197396963124,0.10661810561311102,0.4030307820545364,-0.936122087880114
76,39,105,42,283,0.8536274510432404,15.545010845986985,0.2308273186523797,0.5927160410226371,-0.951583606761728
77,36,250,20,300,0.827346278774833,4.8855748373101955,0.2180120392189946,0.574466831002798,-0.8888712551997875
78,33,314,13,309,0.8438716955108042,6.662147505422993,0.22671687155970188,0.5867161359306179,-0.8833795149397818
79,35,278,45,316,0.9031643945409882,3.245661605206074,0.2557309290414078,0.6255903881875824,-0.8913977126251538
80,6,267,48,248,0.8546423791216617,14.45173535791757,0.23122027530815736,0.5928169010698331,-0.8582739737213797
81,41,225,39,264,0.8674313482039024,3.3139913232104123,0.23657462513911964,0.5999135027357846,-0.8574847777574132
82,37,219,44,292,0.895061217526046,5.0222342733188725,0.2510048749722369,0.6193634966753071,-0.8657248302938318
83,35,241,41,276,0.8931676979260015,2.6990238611713666,0.250117656969981,0.6183684185797949,-0.8636063674158752
84,38,255,39,327,0.9117074168106866,4.407266811279826,0.26029140513393423,0.6316611047137911,-0.9091401533881202
85,30,286,25,209,0.7456454710078098,14.315075921908894,0.1799921224051968,0.5202407856339903,-0.876011898959458
86,33,200,28,280,0.8863969187676664,5.773861171366595,0.2468248485814497,0.6141714789318553,-0.8547645776865282
87,40,177,5,303,0.8888349513350685,11.58188720173536,0.24656076123892623,0.6137315462977795,-0.8740034870468593
88,43,234,17,336,0.9221542594483108,6.867136659436009,0.2640083421073742,0.6367710789648564,-0.8446924806273648
89,16,349,50,147,0.819655439708183,31.260845986984815,0.21406380041017492,0.5686516459877254,-0.897852557924059
90,43,246,34,125,0.667918394147288,29.689262472885034,0.1468005281240321,0.46807965880525565,-0.8873813932331097
91,32,235,17,72,0.5072892552235969,43.560195227765725,0.07803192200987641,0.3585868193797352,-0.8851239537761842
92,3,263,43,271,0.8759774030128586,12.538503253796096,0.24154613820533588,0.6067678981232257,-0.8997152167765926
93,35,271,40,336,0.870626590397343,4.612255965292841,0.23954700190206157,0.6042449979227297,-0.9304559410539721
94,38,120,37,259,0.80897255679891,14.656724511930586,0.20858808538833884,0.5622741562392476,-0.9431942879823481
95,48,256,42,87,0.6318552617067501,38.64045553145336,0.12875743552019547,0.4374517473259866,-0.910273011690542
96,29,106,47,285,0.8793907999992336,17.11659436008677,0.24317610070235096,0.608896782061852,-0.9318643216663228
97,11,64,7,297,0.8524172158932642,17.86822125813449,0.23189912281823943,0.5944108282157843,-0.91408773792139
98,25,247,36,241,0.8024198423687493,3.245661605206074,0.2075555752534608,0.5601800285172168,-0.881240829257434
99,34,231,20,178,0.732105093628072,15.613340563991324,0.17538711223989978,0.5125977859854587,-0.9303878681578319
100,21,292,11,230,0.8232801581530159,12.060195227765727,0.21719767436007387,0.5745074998711583,-0.8104138183196772
101,35,274,45,313,0.9249025894748483,3.1773318872017353,0.26695518048412437,0.6403429329510791,-0.873853194208146
102,36,239,43,192,0.8509251114897293,10.146963123644252,0.23034557982332338,0.5920297500273736,-0.8185542580793858
103,35,276,45,313,0.9240220895887415,3.1090021691973972,0.26649172059583837,0.6397368525498002,-0.873853194208146
104,31,278,44,110,0.7417352734534566,33.24240780911063,0.1771554185627333,0.5140545140290622,-0.8345313592344556
105,35,338,2,275,0.8265620612069688,14.52006507592191,0.215434062781922,0.5705197702925348,-0.8945084889450499
106,39,146,38,323,0.936139874128835,12.606832971800435,0.2718616714980051,0.6458064868215558,-0.9025687920007519
